,Model 1 (Baseline),Model 1 (Baseline),Model 1 (Baseline),Model 1 (Baseline),Model 1 (Baseline),Model 2 (Interaction),Model 2 (Interaction),Model 2 (Interaction),Model 2 (Interaction),Model 2 (Interaction)
,Coefficient,Std. Error,t-Statistic,P-value,Significance,Coefficient,Std. Error,t-Statistic,P-value,Significance
Intercept,-0.02124310707956662,0.01782366991725294,-1.1918480974001733,0.23332081256609039,,-0.02282462685845274,0.017735310570504044,-1.2869595244874281,0.19810839621465104,
C(year)[T.2017],0.0010350422611330918,0.0019356932718751136,0.5347139839621606,0.5928476501858546,,,,,,
C(year)[T.2018],-0.000789048861535256,0.00215615724215926,-0.3659514464469538,0.7144013062746428,,,,,,
C(year)[T.2019],-0.0007775359869025217,0.002167905087160788,-0.3586577620521326,0.7198511298186726,,,,,,
C(year)[T.2020],-0.005590758263735117,0.0021640855030813375,-2.5834276214016056,0.009782399042748144,***,,,,,
C(year)[T.2021],-0.004452790316558101,0.0023266057834789213,-1.91385680727568,0.05563845461783965,*,,,,,
C(year)[T.2022],-0.004823421004042948,0.0022178975464390155,-2.174771784110261,0.029647222507020513,**,,,,,
C(year)[T.2023],-0.0037376546570508026,0.0022323079301253515,-1.674345463997398,0.09406272420706488,*,,,,,
C(year)[T.2024],-0.0023767392387339277,0.0023300642934170213,-1.020031612624928,0.3077134682602737,,,,,,
cfcr_lag,-5.635835027058754e-06,1.1470360907791776e-06,-4.913389449873675,8.951521557578657e-07,***,-5.34647179633847e-06,1.1400556410222952e-06,-4.689658648190412,2.7366118825292045e-06,***
roa_win,0.0744570778848985,0.014190277251484631,5.247048846569123,1.5455493184778915e-07,***,0.07347841440518592,0.0141418580428313,5.19581049269782,2.0382981989703714e-07,***
size,0.0024672050423430146,0.0006770983116944229,3.6437914549940187,0.00026865112139974764,***,0.002427039533237145,0.0006736788220766527,3.6026656229977068,0.00031497058691810545,***
sales_growth_win,0.01226687210280614,0.0023067635693045474,5.317784737906368,1.0503823106587293e-07,***,0.012320737745545375,0.0022678416347848636,5.4328034006281785,5.547551779133051e-08,***
mp_shock,,,,,,0.0008939151647107169,0.0006151929971021265,1.4530645974865029,0.1462058193884676,
interaction_term,,,,,,7.140034938775121e-08,1.163740353882859e-06,0.0613541922384332,0.9510771328885776,
